param D:=
1 19.1498
2 13.147
3 21.2646
4 19.9581
5 17.6352
6 20.4051
7 22.1407
8 20.608
9 19.5668
10 13.4212
11 22.1781
12 13.6385
13 23.3171
14 23.0918
15 21.8394
16 20.2595
17 15.6768
18 23.5005
19 25.0158
20 16.933
;
param S:=
1 11
2 17
3 8
4 9
5 20
6 4
7 10
8 7
9 10
10 7
11 10
12 15
13 13
14 6
15 17
16 7
17 17
18 16
19 14
20 10
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  14  17  12  15  13  13  10   7   6   7   6  16   7  14  10  14   7  11  13
 2  14   0  23  18  23  19  13  16  13  10   9  18  10  13  12  16  20  19  17  19
 3  17  23   0  15  18  10  16  13  16  13  16  17  19  12  23  13  21  16  20  16
 4  12  18  15   0  17  11  11   8  11   8  11  16  14   7  18   8  18  15  15   3
 5  15  23  18  17   0  22  22  19  10  15  16  11  25  16  17  19   5  10   8  16
 6  13  19  10  11  22   0  12   9  12   9  12  17  15   8  19   9  19  18  16  12
 7  13  13  16  11  22  12   0   5  12   9  12  17   5   6  19   5  19  18  16  12
 8  10  16  13   8  19   9   5   0   9   6   9  14   8   3  16   2  16  15  13   9
 9   7  13  16  11  10  12  12   9   0   5   6  11  15   6   9   9   7  12   4  12
10   6  10  13   8  15   9   9   6   5   0   3  10  12   3  12   6  12  11   9   9
11   7   9  16  11  16  12  12   9   6   3   0  11  15   6  13   9  13  12  10  12
12   6  18  17  16  11  17  17  14  11  10  11   0  20  11  18  14  14   3  15  15
13  16  10  19  14  25  15   5   8  15  12  15  20   0   9  16   8  22  21  19  15
14   7  13  12   7  16   8   6   3   6   3   6  11   9   0  13   3  13  12  10   8
15  14  12  23  18  17  19  19  16   9  12  13  18  16  13   0  16  14  19  11  19
16  10  16  13   8  19   9   5   2   9   6   9  14   8   3  16   0  16  15  13   9
17  14  20  21  18   5  19  19  16   7  12  13  14  22  13  14  16   0  13   5  19
18   7  19  16  15  10  18  18  15  12  11  12   3  21  12  19  15  13   0  16  14
19  11  17  20  15   8  16  16  13   4   9  10  15  19  10  11  13   5  16   0  16
20  13  19  16   3  16  12  12   9  12   9  12  15  15   8  19   9  19  14  16   0
;
param C =60;
