param D:=
1 13.2103
2 23.3171
3 15.1793
4 19.5668
5 22.1781
6 16.6416
7 19.5677
8 23.1504
9 21.0676
10 18.4437
11 20.7318
12 22.2727
13 24.7364
14 23.9242
15 19.1714
16 20.4051
17 15.8346
18 23.8176
19 22.1407
20 17.993
;
param S:=
1 6
2 13
3 12
4 10
5 10
6 8
7 18
8 11
9 17
10 14
11 6
12 12
13 16
14 10
15 19
16 4
17 7
18 4
19 10
20 14
;
param L:1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20:=
 1   0  17  16  14  14  12  14  15  21  18  10  16  20  14  23   8  11   8  14  18
 2  17   0  17  15  15   7  23   4  10  19  15   7  17  15  14  15  12   9   5  13
 3  16  17   0  14  14  12   8  15  21  14  16  22  20  14  23  14   7  10  14  18
 4  14  15  14   0   6  10  14  13  13  10  14  20   8   2  11  12   9   8  12  10
 5  14  15  14   6   0  10  14  13   9  10  14  16  12   6  15  12   9   8  12   6
 6  12   7  12  10  10   0  18   5  15  14  12  12  16  10  19  10   7   4   4  14
 7  14  23   8  14  14  18   0  21  21   6  22  28  20  14  23  20  13  16  20  18
 8  15   4  15  13  13   5  21   0  12  17  15   9  19  13  16  13  10   7   3  15
 9  21  10  21  13   9  15  21  12   0  17  17   9  13  13  10  19  16  15  13   5
10  18  19  14  10  10  14   6  17  17   0  18  24  16  10  19  16  13  12  16  14
11  10  15  16  14  14  12  22  15  17  18   0   8  20  14  21   4  11   8  14  18
12  16   7  22  20  16  12  28   9   9  24   8   0  16  20  13  10  17  14  10  12
13  20  17  20   8  12  16  20  19  13  16  20  16   0   6   5  18  15  14  18  16
14  14  15  14   2   6  10  14  13  13  10  14  20   6   0   9  12   9   8  12  10
15  23  14  23  11  15  19  23  16  10  19  21  13   5   9   0  21  18  17  17  13
16   8  15  14  12  12  10  20  13  19  16   4  10  18  12  21   0   9   6  12  16
17  11  12   7   9   9   7  13  10  16  13  11  17  15   9  18   9   0   5   9  13
18   8   9  10   8   8   4  16   7  15  12   8  14  14   8  17   6   5   0   6  12
19  14   5  14  12  12   4  20   3  13  16  14  10  18  12  17  12   9   6   0  16
20  18  13  18  10   6  14  18  15   5  14  18  12  16  10  13  16  13  12  16   0
;
param C =60;
